2698,(株)キャンドゥ,
2715,エレマテック(株),
2726,(株)パル,
2729,(株)JALUX,
2730,(株)エディオン,
2733,(株)あらた,
2734,(株)サーラコーポレーション,
2737,(株)トーメンデバイス,
2749,(株)JPホールディングス,
2753,(株)あみやき亭,
2760,東京エレクトロン　デバイス(株),
2764,(株)ひらまつ,
2768,双日(株),
2772,ゲンキー(株),
2784,アルフレッサ　ホールディングス(株),
2791,大黒天物産(株),
2792,(株)ハニーズ,
2801,キッコーマン(株),
2802,味の素(株),
2809,キユーピー(株),
2810,ハウス食品(株),
2811,カゴメ(株),
2812,焼津水産化学工業(株),
2815,アリアケジャパン(株),
2871,(株)ニチレイ,
2874,ヨコレイ,
2875,東洋水産(株),
2897,日清食品ホールディングス(株),
2899,(株)永谷園,
2908,フジッコ(株),
2910,(株)ロック・フィールド,
2914,JT,
2915,ケンコーマヨネーズ(株),
2918,わらべや日洋(株),
2922,(株)なとり,
3001,片倉工業(株),
3002,グンゼ(株),
3003,ヒューリック(株),
3004,神栄(株),
3022,山下医科器械(株),
3023,ラサ商事(株),
3028,(株)アルペン,
3036,アルコニックス(株),
3048,(株)ビックカメラ,
3050,DCMホールディングス(株),
3064,(株)MonotaRO,
3076,あい　ホールディングス(株),
3086,J．フロント　リテイリング(株),
3087,(株)ドトール・日レスホールディングス,
3088,(株)マツモトキヨシホールディングス,
3092,(株)スタートトゥデイ,
3097,(株)物語コーポレーション,
3098,(株)ココカラファイン,
3099,(株)三越伊勢丹ホールディングス,
3101,東洋紡,
3103,ユニチカ(株),
3104,富士紡ホールディングス(株),
3105,日清紡ホールディングス(株),
3106,クラボウ,
3107,ダイワボウホールディングス(株),
3109,シキボウ(株),
3110,日東紡(株),
3116,トヨタ紡織(株),
3141,グローウェルホールディングス(株),
3148,(株)クリエイトSDホールディングス,
3151,(株)バイタルケーエスケー・ホールディングス,
3153,八洲電機(株),
3156,(株)UKCホールディングス,
3159,丸善CHIホールディングス(株),
3167,(株)TOKAIホールディングス,
3201,ニッケ,
3202,大東紡織(株),
3204,(株)トーア紡コーポレーション,
3205,(株)ダイドーリミテッド,
3225,東京建物不動産販売(株),
3228,(株)三栄建築設計,
3231,野村不動産ホールディングス(株),
3258,常和ホールディングス(株),
3302,帝国繊維(株),
3313,ブックオフコーポレーション(株),
3315,日本コークス工業(株),
3321,ミタチ産業(株),
3333,(株)あさひ,
3341,日本調剤(株),
3349,(株)コスモス薬品,
3360,シップヘルスケアホールディングス(株),
3371,(株)ソフトクリエイト,
3382,(株)セブン＆アイ・ホールディングス,
3391,(株)ツルハホールディングス,
3395,(株)サンマルクホールディングス,
3396,(株)フェリシモ,
3397,(株)トリドール,
3398,(株)クスリのアオキ,
3401,帝人(株),
3402,東レ(株),
3405,(株)クラレ,
3407,旭化成(株),
3408,サカイオーベックス(株),
3421,(株)稲葉製作所,
3431,宮地エンジニアリンググループ(株),
3432,三協・立山ホールディングス(株),
3433,トーカロ(株),
3434,(株)アルファ,
3436,(株)SUMCO,
3443,川田テクノロジーズ(株),
3501,住江織物(株),
3512,日本フエルト(株),
3513,イチカワ(株),
3514,日本バイリーン(株),
3521,エコナックホールディングス(株),
3524,日東製網(株),
3526,芦森工業(株),
3529,アツギ(株),
3551,ダイニック(株),
3553,共和レザー(株),
3569,セーレン(株),
3577,東海染工(株),
3580,小松精練(株),
3591,(株)ワコールホールディングス,
3593,(株)ホギメディカル,
3606,(株)レナウン,
3607,(株)クラウディア,
3608,(株)TSIホールディングス,
3620,(株)デジタルハーツ,
3626,ITホールディングス(株),
3627,ネオス(株),
3632,グリー(株),
3635,コーエーテクモホールディングス(株),
3636,(株)三菱総合研究所,
3639,(株)ボルテージ,
3656,KLab(株),
3659,(株)ネクソン,
3708,特種東海製紙(株),
3715,(株)ドワンゴ,
3724,(株)ベリサーブ,
3730,(株)マクロミル,
3738,(株)ティーガイア,
3769,GMOペイメントゲートウェイ(株),
3770,(株)ザッパラス,
3774,(株)インターネットイニシアティブ,
3789,ソネットエンタテインメント(株),
3817,(株)SRAホールディングス,
3834,(株)朝日ネット,
3861,王子製紙(株),
3864,三菱製紙(株),
3865,北越紀州製紙(株),
3877,中越パルプ工業(株),
3878,(株)巴川製紙所,
3880,大王製紙(株),
3893,(株)日本製紙グループ本社,
3941,レンゴー(株),
3946,(株)トーモク,
3950,ザ・パック(株),
4003,コープケミカル(株),
4004,昭和電工(株),
4005,住友化学(株),
4007,日本化成(株),
4008,住友精化(株),
4021,日産化学工業(株),
4022,ラサ工業(株),
4023,(株)クレハ,
4027,テイカ(株),
4028,石原産業(株),
4031,片倉チッカリン(株),
4041,日本曹達(株),
4042,東ソー(株),
4043,(株)トクヤマ,
4044,セントラル硝子(株),
4045,東亞合成(株),
4047,関東電化工業(株),
4061,電気化学工業(株),
4062,イビデン(株),
4063,信越化学工業(株),
4064,日本カーバイド工業(株),
4088,エア・ウォーター(株),
4091,大陽日酸(株),
4092,日本化学工業(株),
4095,日本パーカライジング(株),
4097,高圧ガス工業(株),
4098,チタン工業(株),
4099,四国化成工業(株),
4100,戸田工業(株),
4109,ステラ　ケミファ(株),
4112,保土谷化学工業(株),
4114,(株)日本触媒,
4116,大日精化工業(株),
4118,(株)カネカ,
4151,協和発酵キリン(株),
4182,三菱ガス化学(株),
4183,三井化学(株),
4185,JSR(株),
4186,東京応化工業(株),
4187,大阪有機化学工業(株),
4188,(株)三菱ケミカルホールディングス,
4201,日本合成化学工業(株),
4202,(株)ダイセル,
4203,住友ベークライト(株),
4204,積水化学工業(株),
4205,日本ゼオン(株),
4206,アイカ工業(株),
4208,宇部興産(株),
4212,積水樹脂(株),
4215,タキロン(株),
4216,旭有機材工業(株),
4217,日立化成工業(株),
4218,ニチバン(株),
4220,リケンテクノス(株),
4221,大倉工業(株),
4228,積水化成品工業(株),
4229,群栄化学工業(株),
4231,タイガースポリマー(株),
4271,日本カーリット(株),
4272,日本化薬(株),
4282,イーピーエス(株),
4283,パナソニック　インフォメーションシステムズ(株),
4295,(株)フェイス,
4301,(株)アミューズ,
4307,(株)野村総合研究所,
4310,(株)ドリームインキュベータ,
4312,サイバネットシステム(株),
4319,TAC(株),
4321,ケネディクス(株),
4324,(株)電通,
4326,(株)インテージ,
4331,(株)テイクアンドギヴ・ニーズ,
4337,ぴあ(株),
4340,(株)シンプレクス・ホールディングス,
4343,(株)イオンファンタジー,
4344,ソースネクスト(株),
4346,(株)ネクシィーズ,
4350,(株)メディカルシステムネットワーク,
4362,日本精化(株),
4401,(株)ADEKA,
4403,日油(株),
4404,ミヨシ油脂(株),
4410,ハリマ化成(株),
4452,花王(株),
4461,第一工業製薬(株),
4471,三洋化成工業(株),
4502,武田薬品工業(株),
4503,アステラス製薬(株),
4506,大日本住友製薬(株),
4507,塩野義製薬(株),
4508,田辺三菱製薬(株),
4512,わかもと製薬(株),
4514,あすか製薬(株),
4516,日本新薬(株),
4519,中外製薬(株),
4521,科研製薬(株),
4523,エーザイ(株),
4527,ロート製薬(株),
4528,小野薬品工業(株),
4530,久光製薬(株),
4531,有機合成薬品工業(株),
4534,持田製薬(株),
4536,参天製薬(株),
4538,扶桑薬品工業(株),
4539,日本ケミファ(株),
4540,(株)ツムラ,
4541,日医工(株),
4543,テルモ(株),
4544,みらかホールディングス(株),
4547,キッセイ薬品工業(株),
4548,生化学工業(株),
4549,栄研化学(株),
4550,日水製薬(株),
4551,鳥居薬品(株),
4553,東和薬品(株),
4554,富士製薬工業(株),
4555,沢井製薬(株),
4559,ゼリア新薬工業(株),
4568,第一三共(株),
4569,キョーリン製薬ホールディングス(株),
4574,大幸薬品(株),
4577,ダイト(株),
4578,大塚ホールディングス(株),
4581,大正製薬ホールディングス(株),
4611,大日本塗料(株),
4612,日本ペイント(株),
4613,関西ペイント(株),
4614,(株)トウペ,
4617,中国塗料(株),
4619,日本特殊塗料(株),
4620,藤倉化成(株),
4626,太陽ホールディングス(株),
4631,DIC(株),
4633,サカタインクス(株),
4634,東洋インキSCホールディングス(株),
4641,(株)アルプス技研,
4651,(株)サニックス,
4653,(株)ダイオーズ,
4658,日本空調サービス(株),
4661,(株)オリエンタルランド,
4665,(株)ダスキン,
4666,パーク24(株),
4668,(株)明光ネットワークジャパン,
4671,(株)ファルコSDホールディングス,
4674,(株)クレスコ,
4676,(株)フジ・メディア・ホールディングス,
4678,(株)秀英予備校,
4679,(株)田谷,
4680,(株)ラウンドワン,
4681,リゾートトラスト(株),
4684,(株)オービック,
4687,TDCソフトウェアエンジニアリング(株),
4689,ヤフー(株),
4694,(株)ビー・エム・エル,
4696,ワタベウェディング(株),
4704,トレンドマイクロ(株),
4708,(株)もしもしホットライン,
4711,(株)東急コミュニティー,
4714,(株)リソー教育,
4716,日本オラクル(株),
4719,(株)アルファシステムズ,
4722,フューチャーアーキテクト(株),
4724,(株)ウェアハウス,
4725,(株)シーエーシー,
4726,ソフトバンク・テクノロジー(株),
4728,(株)トーセ,
4732,(株)ユー・エス・エス,
4733,(株)オービックビジネスコンサルタント,
4739,伊藤忠テクノソリューションズ(株),
4743,(株)アイティフォー,
4745,(株)東京個別指導学院,
4746,(株)東計電算,
4762,(株)エックスネット,
